Title,Address,Halal,Muslim Owned,Food Court,Mixed Food Court,Type of Food,Rating
Green Chilli Chicken Rice @ Chomp Chomp Food Centre,"20 Kensington Park Rd, Singapore 557269 #01-13",No,Yes,No,Yes,"Indonesian, Asian",5.0/5.0 (1 reviews)
Hot Pan Sizzler @ Marina Bay Financial Centre (Tower 3),"12 Marina Boulevard, Singapore 018982 #02-01/02/03/04",No,Yes,No,Yes,"BBQ, Hotpan Dishes",N/A
Hot Pan Sizzler @ Vistapoint (Kopitiam),"548 Woodlands Drive 44, Singapore 730548 #01-21",No,Yes,No,Yes,"BBQ, Hotpan Dishes",5.0/5.0 (2 reviews)
Hot Pan Sizzler @ Northpoint City (Cantine),"930 Yishun Ave 2, Singapore 769098 #02-101/102/103",No,Yes,No,Yes,"BBQ, Hotpan Dishes",5.0/5.0 (1 reviews)
Meat House Grill @ Clementi Avenue 6 (Kopitiam),"209b Clementi Ave 6, Singapore 122209 #01-10",No,Yes,No,Yes,"Western, Italian, Fusion",4.4/5.0 (5 reviews)
Meat House Grill @ Woodlands Street 13 (Food Paradise),"182 Woodlands Street 13, Singapore 730182 #01-06",No,Yes,No,Yes,"Western, Italian, Fusion",3.5/5.0 (2 reviews)
Al Izhan Indian Muslim @ Clementi Avenue 6 (Kopitiam),"209b Clementi Ave 6, Singapore 122209",No,Yes,No,Yes,Indian,N/A
Yu Ni Xiang Yu @ Changi Airport Terminal 3 (Kopitiam),"65 Airport Boulevard, Singapore 819663⁣ #B2-03",Yes,No,No,Yes,"Seafood, Chinese, Chongqing Grilled Fish",N/A
Ayam Bakar @ Seah Im Food Centre,"2 Seah Im Rd, Singapore 099114",No,Yes,No,Yes,"BBQ, Indonesian",4.8/5.0 (19 reviews)
Ding's Hainanese Chicken Rice @ Seah Im Food Centre,"2 Seah Im Rd, Singapore 099114 #01-33",Yes,No,No,Yes,Asian,4.3/5.0 (23 reviews)
Al-Hussain Restaurant @ Tampines Street 81,"822 Tampines Street 81, Singapore 520822",No,Yes,Yes,No,"Indian, Thai",3.8/5.0 (854 reviews)
Mohamad Arafat Muslim Food @ Seah Im Food Centre,"2 Seah Im Rd, Singapore 099114 #01-48",No,Yes,No,Yes,Indian,4.5/5.0 (2 reviews)
Nasi Lemak Hijau @ Seah Im Food Centre,"2 Seah Im Rd, Singapore 099114 #01-38",Yes,No,No,Yes,Malay,1.0/5.0 (1 reviews)
Fiie's Cafe @ Holland Drive,43 Holland Drive,No,Yes,Yes,No,"Malay, Nasi Ayam Goreng",N/A
Al Hayat Indian Muslim Food,"107 Tampines St. 11, Singapore 521107 #01-361",No,Yes,No,Yes,"Indian, Opens 24 Hours",N/A
Asia Ghani Jamu Selera Chicken Rice @ Jurong West Street 91,"1 Jurong West Street 91, Singapore 640964",No,Yes,No,Yes,Malay,3.1/5.0 (16 reviews)
Asia Ghani Jamu Selera Chicken Rice @ Canberra Street,"105 Canberra St, Singapore 752106",No,Yes,No,Yes,Malay,4.5/5.0 (4 reviews)
Asia Ghani Jamu Selera Chicken Rice @ 888 Plaza,"888 Woodlands Drive 50, Singapore 730888",No,Yes,No,Yes,Malay,3.9/5.0 (23 reviews)
Soldier Chicken @ Jurong Gateway Road,"130 Jurong Gateway Road, Singapore 600130",Yes,No,No,Yes,"Western, Chicken",N/A
Soldier Chicken @ Ang Mo Kio Avenue 3,"122 Ang Mo Kio Avenue 3, Singapore 560122",Yes,No,No,Yes,"Western, Chicken",4.4/5.0 (13 reviews)
$5 Western @ Upper Boon Keng Road,"5 Upper Boon Keng Rd, Singapore 380005 #01-01",Yes,No,No,Yes,"American, Western",3.7/5.0 (120 reviews)
$5 Western @ Wave 9,"71 Woodlands Industrial Park E9, Singapore 757048 #01-04",Yes,No,No,Yes,"American, Western",4.4/5.0 (8 reviews)
Turkish Kebab by Daddy Kebab @ Pasir Ris Central Hawker Centre,"110 Pasir Ris Central, Singapore 519641 #01-22",No,Yes,No,Yes,"Mediterranean, Turkish",4.9/5.0 (71 reviews)
Project Penyek @ Senja Hawker Centre,"2 Senja Cl, Singapore #02-17",No,Yes,No,Yes,,3.6/5.0 (19 reviews)
Aroma Nasi Lemak @ Eunos Crescent Food Centre,"4a Eunos Cres, Singapore 402004 #01-08",No,Yes,No,Yes,Malay,4.0/5.0 (13 reviews)
Just Lazzat @ Bedok North Street 1 (My Kampung),"11 Bedok North Street 1, Singapore 469662 #01-29",Yes,No,No,Yes,"Fusion, Malay, Beef, Lamb, BBQ, Asian, Chicken, Indonesian, Opens 24 Hours",3.7/5.0 (27 reviews)
Hajmeer Kwaja Muslim Food @ Maxwell Food Centre,"1 Kadayanallur St, Singapore 069184",No,Yes,No,Yes,"Indian, Mediterranean, Asian",4.0/5.0 (55 reviews)
Ayesha's Kitchen @ Cecil Street,"141 Cecil St, #01-02, Singapore 069541 #01-02",No,Yes,Yes,No,"Indian, Asian, BBQ, Mediterranean, Singaporean",4.0/5.0 (19 reviews)
Kak Ngah Kitchen @ Market Street Hawker Centre,"88 Market St, Singapore",No,Yes,No,Yes,Malay,2.0/5.0 (2 reviews)
Warung Istimewa @ Market Street Hawker Centre,"50 Market St, Singapore 048940 #03-16",No,Yes,No,Yes,Western,4.9/5.0 (9 reviews)
Selera Bonda @ Market Street Hawker Centre,"88 Market St, Singapore #02-11",No,Yes,No,Yes,Malay,5.0/5.0 (2 reviews)
Kejora Nasi Padang @ Market Street Hawker Centre,"88 Market St, Singapore 048948",No,No,No,Yes,"Malay, Indonesian",4.2/5.0 (10 reviews)
Mom's Kitchen @ Market Street Hawker Centre,"88 Market St, CapitaSpring, Singapore 048948",No,Yes,No,Yes,"Malay, Thai",3.8/5.0 (4 reviews)
786 炒粿条 Char Kway Teow @ Bukit Merah Hawker Centre,"115 Bukit Merah View, #01-28, Singapore 151115 #01-28",No,Yes,No,Yes,Chinese,4.4/5.0 (516 reviews)
Firdaus Prata & Briyani House @ Ayer Rajah Food Centre,"503 W Coast Dr, Singapore 120503 #01-50",No,Yes,No,Yes,Indian,2.9/5.0 (11 reviews)
M. Mohamed Ismail @ Ayer Rajah Food Centre,"503 W Coast Dr, Singapore 120503",No,Yes,No,Yes,"Indian, Mutton Chop",3.7/5.0 (10 reviews)
A. Rashid Khan @ Ayer Rajah Food Centre,"503 W Coast Dr, Singapore 120503",No,Yes,No,Yes,"Indian, Mutton Soup",4.5/5.0 (14 reviews)
N.M. Abdul Rahim @ Ayer Rajah Food Centre,"503 W Coast Dr, Singapore 120503 #01-60",No,Yes,No,Yes,Indian,3.6/5.0 (14 reviews)
Taman Selera West Coast @ Ayer Rajah Food Centre,"503 W Coast Dr, Singapore 120503 #01-65",No,Yes,No,Yes,"Malay, Mee Rebus",4.1/5.0 (14 reviews)
Liza Nasi Padang @ Kim Keat Food Centre,"22 Lor 7 Toa Payoh, Singapore 310022 #01-44",No,Yes,No,Yes,Malay,4.8/5.0 (17 reviews)
Habib's Rojak @ Kim Keat Food Centre,"22 Lor 7 Toa Payoh, Singapore 310022 #01-56",No,Yes,No,Yes,Indian,4.7/5.0 (3 reviews)
Habib's Rojak @ Ayer Rajah Food Centre,"503A W Coast Dr, Singapore 121503 #01-03",No,Yes,No,Yes,Indian,3.9/5.0 (76 reviews)
Ibrahim Stall Shenton Way Power @ Ayer Rajah Food Centre,"503a W Coast Dr, Singapore 121503 #01-74",No,Yes,No,Yes,Indian,4.9/5.0 (11 reviews)
Noor Ali Nasi Padang @ Ayer Rajah Food Centre,"503 W Coast Dr, Singapore 120503 #75",No,Yes,No,Yes,Malay,5.0/5.0 (1 reviews)
Adam A Rojak @ Ayer Rajah Food Centre,"503 W Coast Dr, Singapore 120503 #01-79",Yes,No,No,Yes,Indian,4.9/5.0 (187 reviews)
Mbakyu Nasi Padang Warong Pojok @ Ayer Rajah Food Centre,"503 W Coast Dr, Singapore 120503 #01-80",No,Yes,No,Yes,"Malay, Indonesian",5.0/5.0 (8 reviews)
Mohamed Raihan @ Ayer Rajah Food Centre,"503 W Coast Dr, Singapore 120503 #01-70",No,Yes,No,Yes,Indian,3.9/5.0 (7 reviews)
Five Star Fast Food @ Golden Mile Food Centre,"505 Beach Rd, Singapore 199583 #B1-18",No,Yes,No,Yes,"Indian, Western",4.8/5.0 (10 reviews)
Five Star Fast Food @ Taman Jurong Food Centre,"3 Yung Sheng Rd, Singapore 618499 #02-99",No,Yes,No,Yes,"Indian, Western",3.0/5.0 (12 reviews)
Aysha Food Corner @ Marsiling Mall Hawker Centre,"Woodlands Street 12, Singapore #01-41",No,Yes,No,Yes,"Indian, Thai, Western",3.3/5.0 (6 reviews)
Five Star Fast Food @ Marsiling Mall Hawker Centre,"Woodlands Street 12, Singapore 738620 #01-40",No,Yes,No,Yes,"Indian, Western",3.3/5.0 (42 reviews)
Arabica Kebab @ Marsiling Mall Hawker Centre,"Woodlands Street 12, Singapore 738623 #01-38",No,Yes,No,Yes,Middle Eastern,4.6/5.0 (41 reviews)
Mel's Western @ Marsiling Mall Hawker Centre,"4 Woodlands Street 12, Singapore 738623 #01-37",No,Yes,No,Yes,Western,2.0/5.0 (8 reviews)
Bhai's Chapati & Biryani @ Marsiling Mall Hawker Centre,"4 Woodlands Street 12, Singapore 738620 #01-43",No,Yes,No,Yes,Indian,4.3/5.0 (12 reviews)
Nurul Nasi Briyani Power @ Changi Village Hawker Centre,"3 Changi Village Rd, Singapore 500003 #01-48",No,Yes,No,Yes,Malay,2.8/5.0 (4 reviews)
Sinar Murni @ Changi Village Hawker Centre,"Blk 3 Changi Village Rd, Singapore 500003 #01-75",No,Yes,No,Yes,"Malay, Snacks, Popiah",5.0/5.0 (2 reviews)
Al-Baik Halal Western @ Changi Village Hawker Centre,"3 Changi Village Rd, Singapore 500003 #01-77",No,Yes,No,Yes,Western,4.5/5.0 (2 reviews)
Zayyan Ash Shakur Muslim Foods @ Changi Village Hawker Centre,"2 Changi Village Rd, Singapore 500002 #01-78",No,Yes,No,Yes,Indian,5.0/5.0 (2 reviews)
Warung Nenek @ Changi Village Hawker Centre,"3 Changi Village Rd, Singapore 500003 #01-73",No,Yes,No,Yes,"Malay, Snacks",4.9/5.0 (10 reviews)
Yang's Epok Epok @ KINEX,"11 Tanjong Katong Rd, Singapore 436950  #B1-K8",No,Yes,No,Yes,"Chicken, Beef, Malay",3.7/5.0 (10 reviews)
An-Nur Shenton Way Special @ Upper Serangoon Road,"768 Upper Serangoon Rd, Singapore 534636",No,Yes,No,Yes,"Indian, Mee Combo",4.0/5.0 (16 reviews)
Telur Thai @ Northpoint City (North Wing),"930 Yishun Avenue 2, Singapore 769098 #B2-12",Yes,No,No,Yes,Thai,N/A
Telur Thai @ Singapore General Hospital (Block 6),"6 Outram Road, Singapore 169608 #01",Yes,No,No,Yes,Thai,N/A
Telur Thai @ Tampines Mall (Kopitiam),"4 Tampines Central 5, Singapore 529510 #04-27/28/29",Yes,No,No,Yes,Thai,N/A
Telur Thai @ IMM (Kopitiam),"2 Jurong East Street 21, Singapore 609601 #03-55",Yes,No,No,Yes,Thai,4.0/5.0 (11 reviews)
Telur Thai @ Paya Lebar Square (Cantine),"60 Paya Lebar Rd, Singapore 409051 #B1-51",Yes,No,No,Yes,Thai,2.3/5.0 (15 reviews)
Telur Thai @ Hillion Mall (Kopitiam),"17 Petir Rd, Singapore 678278 #02-15, Stall 17",Yes,No,No,Yes,Thai,2.2/5.0 (37 reviews)
BAKAR @ Greenridge Shopping Centre,"524 Jelapang Road, Singapore 671524 #01-03",Yes,No,No,Yes,"Indonesian, BBQ, Ayam Bakar",N/A
Fork and Spoon @ Woodlands Mart,"768 Woodlands Ave 6, #01-32, Singapore 730768 #01-32",Yes,No,No,Yes,"Singaporean, Asian, Chicken, Indonesian, Chinese, Seafood, Healthy, Vegetarian",4.0/5.0 (984 reviews)
Fork and Spoon @ HDB Hub,"470 Lor 6 Toa Payoh, Singapore 310470 #02-70",Yes,No,No,Yes,"Singaporean, Asian, Chicken, Indonesian, Chinese, Seafood, Healthy, Vegetarian",4.2/5.0 (984 reviews)
Cantine by Kopitiam @ Canberra Plaza,"133 Canberra View, Singapore 750133 #01-21/22/23",Yes,No,Yes,No,"Western, Asian, Beverages, Vegetarian, Chicken, Seafood, Chinese, Japanese, Korean, Indian, Thai, Italian, American, Indonesian, Beef, Lamb",2.4/5.0 (75 reviews)
Cantine by Kopitiam @ Greenridge Shopping Centre,"524A Jelapang Rd, Singapore 671524",Yes,No,Yes,No,"Western, Asian, Beverages, Vegetarian, Chicken, Seafood, Chinese, Japanese, Korean, Indian, Thai, Italian, American, Indonesian, Beef, Lamb",3.7/5.0 (116 reviews)
Cantine by Kopitiam @ Northshore Plaza 2,"418 Northshore Dr, Singapore 820418 #02-07/08/09",Yes,No,Yes,No,"Western, Asian, Beverages, Vegetarian, Chicken, Seafood, Chinese, Japanese, Korean, Indian, Thai, Italian, American, Indonesian, Beef, Lamb",3.4/5.0 (306 reviews)
Cantine Corner by Kopitiam @ Admiralty Place,"678A Woodlands Ave 6, Singapore 731678",Yes,No,Yes,No,"Western, Asian, Beverages, Vegetarian, Chicken, Seafood, Chinese, Japanese, Korean, Indian, Thai, Italian, American, Indonesian, Beef, Lamb",3.1/5.0 (34 reviews)
Cantine by Kopitiam @ Jurong Point (JP1),"1 Jurong West Central 2, Singapore 648886 #B1-42/43/44",Yes,No,Yes,No,"Western, Asian, Beverages, Vegetarian, Chicken, Seafood, Chinese, Japanese, Korean, Indian, Thai, Italian, American, Indonesian, Beef, Lamb",3.8/5.0 (728 reviews)
Cantine by Kopitiam @ Causeway Point,"1 Woodlands Square, Singapore 738099 #07-03",Yes,No,Yes,No,"Western, Asian, Beverages, Vegetarian, Chicken, Seafood, Chinese, Japanese, Korean, Indian, Thai, Italian, American, Indonesian, Beef, Lamb",3.9/5.0 (703 reviews)
Cantine by Kopitiam @ Paya Lebar Square,"60 Paya Lebar Rd, Singapore 409051 #B1-51",Yes,No,Yes,No,"Western, Asian, Beverages, Vegetarian, Chicken, Seafood, Chinese, Japanese, Korean, Indian, Thai, Italian, American, Indonesian, Beef, Lamb",3.4/5.0 (443 reviews)
Cantine by Kopitiam @ Northpoint City,"930 Yishun Ave 2, Singapore 769098 #02-101/102/103",Yes,No,Yes,No,"Western, Asian, Beverages, Vegetarian, Chicken, Seafood, Chinese, Japanese, Korean, Indian, Thai, Italian, American, Indonesian, Beef, Lamb",4.0/5.0 (893 reviews)
Bounce Teochew Fishball Noodles @ Northshore Plaza 2,"418 Northshore Dr, Singapore 820418 #02-07/08/09",Yes,No,No,Yes,"Asian, Chinese",N/A
ABC Eating House @ Tampines Street 21,"201d Tampines Street 21, Singapore 524201 #01-1105",No,Yes,Yes,No,,3.0/5.0 (262 reviews)
ABC Eating House @ Elias Mall,"625 Elias Rd, Singapore 510625",No,Yes,Yes,No,Opens 24 Hours,2.2/5.0 (71 reviews)
Harummanis Muslim Food @ Teck Whye Lane,"145 Teck Whye Ln, Singapore 680145",No,Yes,No,Yes,Malay,2.0/5.0 (33 reviews)
TWO GUYS @ Seah Im Food Centre,"2 Seah Im Rd, Singapore 099114 #01-28",No,Yes,No,Yes,"Middle Eastern, Western",4.9/5.0 (65 reviews)
Super Shiok Nasi Lemak @ Tiong Bahru Food Centre,"30 Seng Poh Rd, Singapore 168898 #02-38",Yes,No,No,Yes,Malay,4.2/5.0 (42 reviews)
Super Shiok Nasi Lemak @ Chinatown Complex,"335 Smith St, Singapore 050335 #02-132",Yes,No,No,Yes,Malay,3.3/5.0 (15 reviews)
Super Shiok Nasi Lemak @ Bendemeer Market & Food Centre,"29 Bendemeer Rd, Singapore 330029 #01-13",Yes,No,No,Yes,Malay,3.9/5.0 (29 reviews)
Tasty Wok @ Tampines Street 44,"478 Tampines Street 44, Singapore 520478 #01-221",Yes,No,No,Yes,Chinese,N/A
Tasty Wok @ Loyang Point (Koufu),"258 Pasir Ris Street 21, Singapore 510258 #02-09",Yes,No,No,Yes,Chinese,1.9/5.0 (42 reviews)
Tasty Wok @ Eunos Crescent,"1A Eunos Cres, Singapore 401001",Yes,No,No,Yes,Chinese,3.2/5.0 (36 reviews)
Mala Wok by Tasty Wok (Bedok Food Centre),"1 Bedok Rd, Singapore 469572",Yes,No,No,Yes,Chinese,4.8/5.0 (13 reviews)
Tasty Wok @ Changi Road (Foodhub),"60 Changi Rd, Singapore 419712",Yes,No,No,Yes,Chinese,2.6/5.0 (5 reviews)
Mohamadia (Indian Muslim Food) @ Clementi Avenue 2,"353 Clementi Ave 2, Singapore 120353",No,Yes,No,Yes,Indian,4.6/5.0 (14 reviews)
Fitra Chicken Rice @ Westgate (Food Junction),"3 Gateway Dr, Singapore 608532 B1",Yes,No,No,Yes,"Asian, Chicken, Singaporean",N/A
Mohamed Hanifa @ Ayer Rajah Food Centre,"503 W Coast Dr, Singapore 120503",No,Yes,No,Yes,Indian,1.0/5.0 (1 reviews)
ABANG By Pondok Abang @ Botanical Gardens (Sprouts Food Place),"1j Cluny Rd, Singapore 259607",No,Yes,No,Yes,Malay,N/A
ABANG By Pondok Abang @ Clementi Avenue 3,"448 Clementi Ave 3, Singapore 120448 #01-03",No,Yes,No,Yes,Malay,3.5/5.0 (28 reviews)
Indo Express @ Millage,"55 Changi Rd, Singapore 419709 #01-03",Yes,No,Yes,No,Indonesian,4.0/5.0 (4 reviews)
Indo Express @ Lucky Plaza,"304 Orchard Rd, Singapore 238863 #01-71",Yes,No,Yes,No,Indonesian,3.7/5.0 (78 reviews)
Indo Express @ Northshore Plaza II (Cantine),"418 Northshore Drive, Singapore 820418 #02-07",Yes,No,Yes,No,Indonesian,1.7/5.0 (3 reviews)
Little Sayang @ Toa Payoh Industrial Park,"9 Toa Payoh Industrial Park, Singapore 319061",Yes,No,No,Yes,"Western, Malay, Fusion",4.1/5.0 (48 reviews)
Warong Kim’s Seafood @ Woodlands Street 13,"182 Woodlands Street 13, Singapore",Yes,No,No,Yes,"Seafood, Singaporean, Chicken, Beef, Vegetarian, , Asian",3.4/5.0 (12 reviews)
SAFA Indian Muslim Food @ Woodlands Street 13,"182 Woodlands Street 13, Singapore 730182 #01-06",No,Yes,No,Yes,Indian,1.5/5.0 (20 reviews)
Salai by Meatdrop @ Joo Chiat Road,"82 Joo Chiat Rd, Singapore 427379",No,Yes,Yes,No,Western,4.4/5.0 (80 reviews)
Shawarma N Kebab and Sweets @ Buangkok Hawker Centre,"70 Compassvale Bow, Singapore 544692",No,Yes,No,Yes,Middle Eastern,N/A
Kerabu by Arang @ Yishun Park Hawker Centre,"51 Yishun Ave 11, Singapore 768867 #01-04",No,Yes,No,Yes,"Malay, Nasi Kerabu",4.3/5.0 (40 reviews)
HumFull Prawn Laksa @ Yishun Street 51,"513 Yishun St 51, Singapore 760513",Yes,No,No,Yes,Asian,4.4/5.0 (195 reviews)
Al Hafiz Indian Muslim Food @ Anchorvale Crescent,"338 Anchorvale Cres, Singapore 544651",No,Yes,No,Yes,Indian,2.5/5.0 (10 reviews)
Al Hayat Indian Muslim Food @ Serangoon Avenue 4,"214 Serangoon Ave 4, Singapore 550214",No,Yes,No,Yes,Indian,3.3/5.0 (7 reviews)
Al Hayat Indian Muslim Food @ Hougang Avenue 5,"322 Hougang Ave 5, Singapore 530322",No,Yes,No,Yes,Indian,2.8/5.0 (27 reviews)
IKEA @ Tampines (Halal Line),"60 Tampines North Drive 2, Singapore 528764",Yes,No,No,Yes,"Western, Asian",4.2/5.0 (3656 reviews)
Alley Wei Teppan-Yaki @ Bugis Junction,"200 Victoria St, Singapore 188021 #B1-K23",Yes,No,No,Yes,Japanese,2.0/5.0 (53 reviews)
Fried Rice Story @ Anchorvale Street,"330 Anchorvale St, Singapore 540330 #Stall 7",Yes,No,No,Yes,"BBQ, Chinese, Singaporean, Seafood, Malay, Beef, Asian, Chicken",4.1/5.0 (20 reviews)
Flips N Dips @ Paya Lebar Square,"60 Paya Lebar Road, Singapore 409051 #B1-51",No,Yes,Yes,No,"Malay, Western, Fusion",4.3/5.0 (88 reviews)
Makan Singapura @ Keat Hong CC,"2 Choa Chu Kang Loop, #01-02/03 Keat Hong Community Club, Singapore 689687 #01-02/03",No,Yes,Yes,No,"Asian, Chinese, Western, Malay",1.5/5.0 (44 reviews)
Just Lazzat @ Bedok North Avenue 2,"418 Bedok North Ave 2, Singapore 460418",Yes,No,No,Yes,"Fusion, Malay, Beef, Lamb, BBQ, Asian, Chicken, Indonesian, Opens 24 Hours",3.0/5.0 (11 reviews)
Mukmin Restaurant @ Bedok North Street 2,"129 Bedok North Street 2, #01-26, Singapore 460129 #01-26",No,Yes,Yes,No,,4.2/5.0 (680 reviews)
Pondok Tradisi @ Tampines Street 86,"872c Tampines Street 86, Singapore 523872",No,Yes,No,Yes,Malay,4.1/5.0 (9 reviews)
My Nasi Ayam @ Ang Mo Kio Avenue 4 (Kedai Kopi),"108 Ang Mo Kio Avenue 4, Singapore 560108 #01-74",Yes,No,No,Yes,"Singaporean, Asian, Chinese",N/A
My Nasi Ayam @ Yishun Central 12 (Kedai Kopi),"925 Yishun Central 12, Singapore 760925 #01-211",Yes,No,No,Yes,"Singaporean, Asian, Chinese",N/A
My Nasi Ayam @ Haig Road (Kedai Kopi),"12 Haig Rd, Singapore 430012",Yes,No,No,Yes,"Singaporean, Asian, Chinese",3.7/5.0 (10 reviews)
My Nasi Ayam @ Clementi Avenue 5 (Kedai Kopi),"380 Clementi Ave 5, Singapore 120380 #01-376",Yes,No,No,Yes,"Singaporean, Asian, Chinese",2.4/5.0 (5 reviews)
My Nasi Ayam @ Bukit Batok Street 31 (Kedai Kopi),"376 Bukit Batok Street 31, Singapore 650376",Yes,No,No,Yes,"Singaporean, Asian, Chinese",2.0/5.0 (2 reviews)
My Nasi Ayam @ Bedok Food Centre,"1 Bedok Rd, Singapore 469572",Yes,No,No,Yes,"Singaporean, Asian, Chinese",3.1/5.0 (35 reviews)
Mawar Merah Deli @ Sin Ming Drive,"176 Sin Ming Dr, Singapore 575721 #04-18",No,Yes,No,Yes,"Malay, Indonesian, Nasi Padang",5.0/5.0 (5 reviews)
Epok Epok Story @ Berseh Food Centre,"166 Jalan Besar, Singapore 208877 #B1-11",No,Yes,No,Yes,"Malay, Snacks",4.9/5.0 (19 reviews)
Taste of Morocco El Hassan @ Ayer Rajah Food Centre,"503 W Coast Dr, Singapore 120503",No,Yes,No,Yes,"Mediterranean, Western",4.8/5.0 (16 reviews)
Aunty Sham Ayam Penyet @ Berseh Food Centre,"166 Jalan Besar, Singapore 208877 #9",No,Yes,No,Yes,"Asian, Indonesian",4.4/5.0 (9 reviews)
O’BRAIM Express @ Our Tampines Hub,"1 Tampines Walk, Singapore 528523 #01-60",No,Yes,No,Yes,"Malay, Asian, Snacks",4.3/5.0 (16 reviews)
O’BRAIM @ Bedok North Street 3,"537 Bedok North Street 3, Singapore 460537",No,Yes,No,Yes,"Malay, Asian, Snacks",2.5/5.0 (2 reviews)
