Title,Address,Halal,Muslim Owned,Food Court,Mixed Food Court,Type of Food,Rating
O’BRAIM @ Pasir Ris East CC,"1 Pasir Ris Drive 4, Singapore 519457",No,Yes,No,Yes,"Malay, Asian, Snacks",3.5/5.0 (16 reviews)
al makan @ Tampines Street 21,"201d Tampines St. 21, Singapore 524201 #01-1155",No,Yes,Yes,No,"Indian, Asian",3.2/5.0 (101 reviews)
Al Barakath Restaurant @ Teban Gardens Road,"39 Teban Gardens Rd, #01-332/333, Singapore 600039 #01-332/333",No,Yes,No,Yes,Indian,4.0/5.0 (225 reviews)
Al Barakath @ Compassvale Drive,"215c Compassvale Dr, Singapore 543215",No,Yes,No,Yes,Indian,5.0/5.0 (4 reviews)
Prata Alley @ Alexandra Central Mall,"321 Alexandra Rd, Singapore 159971 #01-07",No,Yes,Yes,No,Indian,4.4/5.0 (867 reviews)
Naakin @ Amoy Street Food Centre,"7 Maxwell Rd, Singapore 069111 #01-68",No,Yes,No,Yes,Thai,4.7/5.0 (31 reviews)
Nasi Padang Sederhana @ Sengkang Kopitiam Square,"10 Sengkang Square, Singapore 544829",No,Yes,No,Yes,Malay,2.2/5.0 (6 reviews)
Penyet Kartini @ Sengkang Kopitiam Square,"10 Sengkang Square, Singapore 544829 #01-09/10",Yes,No,No,Yes,Indonesian,3.9/5.0 (47 reviews)
Isha Curry Puff @ Circuit Road Hawker Centre,"79 Circuit Rd, Singapore 370079 #01-53",No,Yes,No,Yes,"Snacks, Malay",4.3/5.0 (39 reviews)
Bahrakath Mutton Soup @ Adam Food Centre,"2 Adam Rd, Singapore 289876 #01-10",No,Yes,No,Yes,Indian,4.3/5.0 (85 reviews)
Adam Chicken Rice @ Adam Food Centre,"2 Adam Rd, Singapore 289876",No,Yes,No,Yes,Asian,3.9/5.0 (22 reviews)
Green Chilli Chicken Rice @ Sims Food Centre,"49 Sims Pl, Singapore 380049 #01-09",No,Yes,No,Yes,"Indonesian, Asian",4.4/5.0 (229 reviews)
Adam Chicken @ West Coast Food Centre,"503 W Coast Dr, Singapore 120503 #28",Yes,No,No,Yes,"Asian, Chicken Rice",4.3/5.0 (10 reviews)
Nasi Lemak Specialist @ 137 Tampines Street 11,"137 Tampines St. 11, Singapore 521137 #01-14",No,Yes,No,Yes,Malay,4.1/5.0 (45 reviews)
Fiie's Cafe @ Toa Payoh Lorong 4,"73 Lor 4 Toa Payoh, Singapore 310073",No,Yes,Yes,No,"Malay, Nasi Ayam Goreng",3.5/5.0 (23 reviews)
Fiie's Cafe @ Lucky Plaza,"304 Orchard Rd, Singapore 238863 #06-52",No,Yes,Yes,No,"Malay, Nasi Ayam Goreng",3.1/5.0 (216 reviews)
Oh Ho Thai BBQ @ Bedok North Avenue 2,"418 Bedok North Ave 2, Singapore 460418 #01-55",Yes,No,Yes,No,"Thai, BBQ, Steamboat",4.1/5.0 (28 reviews)
Ali Khan Restaurant @ Macpherson Road,"508 MacPherson Rd, Singapore 368207",No,Yes,Yes,No,"Indian, Opens 24 Hours",4.0/5.0 (718 reviews)
NKS Restaurant @ Segar Road,"1 Segar Road, Singapore 677738",No,Yes,No,Yes,"Indian, Thai, Western, Seafood",2.2/5.0 (16 reviews)
NKS Restaurant @ Pasir Ris Street 51,"527C Pasir Ris Street 51, Singapore 513525",No,Yes,No,Yes,"Indian, Thai, Western, Seafood",3.1/5.0 (16 reviews)
NKS Restaurant @ Circuit Road,"18B Circuit Rd, Singapore 372018",No,Yes,No,Yes,"Indian, Thai, Western, Seafood",3.7/5.0 (3 reviews)
NKS Restaurant @ Greenridge Shopping Centre,"524A Jelapang Rd, Singapore 671524",No,Yes,No,Yes,"Indian, Thai, Western, Seafood",1.8/5.0 (14 reviews)
NKS Restaurant @ Jurong West Street 75,"762 Jurong West Street 75, Singapore 640762",No,Yes,No,Yes,"Indian, Thai, Western, Seafood, Opens 24 Hours",3.3/5.0 (118 reviews)
NKS Restaurant @ Choa Chu Kang Avenue 1,"204 Choa Chu Kang Ave 1, Singapore 680204",No,Yes,No,Yes,"Indian, Thai, Western, Seafood",3.2/5.0 (291 reviews)
NKS Restaurant @ Macpherson Road,"179 Macpherson Rd, Singapore 348539",No,Yes,No,Yes,"Indian, Thai, Western, Seafood",3.9/5.0 (24 reviews)
Urban Hawker @ 35 W 50th Street,"135 W 50th St, New York, NY 10020, USA",No,No,No,Yes,"Indonesian, Indian, Malay, Note: Not all stalls are certified halal.",4.3/5.0 (1134 reviews)
Hajjah Jamillah Rajmohamed Muslim Food @ Haig Road Food Centre,"14 Haig Rd, Singapore 430014 #01-09",No,Yes,No,Yes,Indian,4.4/5.0 (42 reviews)
Sangwoo Street @ Yishun Central 1 (Kedai Kopi),"925 Yishun Central 1, Singapore 760925 #01-211",No,Yes,Yes,No,Korean,3.8/5.0 (33 reviews)
BAKAR @ Jurong Point,"1 Jurong West Central 2, Singapore 648886 #B1-42/43",Yes,No,No,Yes,"Indonesian, BBQ, Ayam Bakar",N/A
BAKAR @ Pioneer Mall,"638a Jurong West Street 61, Singapore 641638 #01-22",Yes,No,No,Yes,"Indonesian, BBQ, Ayam Bakar",N/A
BAKAR @ Tampines Mart,"9 Tampines Street 32, Singapore 529286 #01-01",Yes,No,No,Yes,"Indonesian, BBQ, Ayam Bakar",N/A
BAKAR @ IMM,"2 Jurong East Street 21, Singapore 609601 #03-55",Yes,No,No,Yes,"Indonesian, BBQ, Ayam Bakar",2.8/5.0 (4 reviews)
Tok'Shiq Corner @ Woodlands Street 81,"Blk 806 Woodlands Street 81, Singapore 730806",No,Yes,No,Yes,"Malay, Snacks",3.5/5.0 (113 reviews)
Special Chinese Rojak @ Bedok Road,"324 Bedok Rd, Singapore 469493",No,Yes,No,Yes,"Chinese, Snacks",3.9/5.0 (8 reviews)
Alpaz Nasi Arab @ Golden Mile Food Centre,"505 Beach Rd, Singapore 199583 #B1-20",No,Yes,No,Yes,"Yemen, Mediterranean",5.0/5.0 (35 reviews)
Saporita @ East Coast Road,"125 E Coast Rd, Singapore 428810",No,Yes,No,Yes,Italian,4.7/5.0 (57 reviews)
Saporita @ Makansutra Glutton Bay,"8 Raffles Ave., Singapore 039802 #01-15L",No,Yes,No,Yes,Italian,4.7/5.0 (1494 reviews)
Aliff Nasi Lemak @ Serangoon Garden Way,"49a Serangoon Garden Way, Singapore 555945 #01-27",No,Yes,No,Yes,Malay,4.1/5.0 (104 reviews)
Aliff Nasi Lemak @ Bedok North Street 3,"511 Bedok North Street 3, Singapore 460511 #01-19",No,Yes,No,Yes,Malay,4.1/5.0 (79 reviews)
Azme Corner Nasi Lemak @ Bedok North Street 2,"122 Bedok North Street 2, Block 122, Singapore 460122",No,Yes,No,Yes,"Malay, Thai, Nasi Lemak",4.4/5.0 (181 reviews)
The Nasi Padang By Butterscotch @ Sin Ming Road,"22 Sin Ming Rd, Singapore 570022 #01-210",No,Yes,No,Yes,"Indonesian, Malay",4.8/5.0 (28 reviews)
Daliman’s Corner @ Seah Im Food Centre,"2 Seah Im Rd, Singapore 099114 #01-32",No,Yes,No,Yes,"Malay, BBQ",3.9/5.0 (34 reviews)
FARASHA by INTAN @ Seah Im Food Centre,"2 Seah Im Rd, Singapore 099114 #01-31",No,Yes,No,Yes,"Malay, Indonesian",3.5/5.0 (39 reviews)
People's Nasi Padang @ UE Print Media Hub,61 Tai Seng Ave #B1-02,No,Yes,No,Yes,"Indonesian, Malay",4.3/5.0 (17 reviews)
ABC Food Corner @ Havelock Road,"743 Havelock Rd, Singapore 169656",No,Yes,Yes,No,"Indian, Opens 24 Hours",3.8/5.0 (1024 reviews)
Shami Banana Leafs Delights @ Causeway Point (Food Republic),"1 Woodlands Square, Singapore 738099 #04-01/04",Yes,No,No,Yes,"Indian, Beverages, Chicken, Lamb, Seafood, Vegetarian",3.4/5.0 (35 reviews)
Sinar Malay Seafood (Jurong West),"456 Jurong West Street 41, Singapore 640456",No,Yes,No,Yes,"Malay, Seafood",5.0/5.0 (2 reviews)
Sinar Malay Seafood @ Bukit Batok Street 31 (Kedai Kopi),"376 Bukit Batok Street 31, Singapore 650376",No,Yes,No,Yes,"Malay, Seafood",2.5/5.0 (6 reviews)
Sabira Indian Muslim Food @ Choa Chu Kang Drive,"787B Choa Chu Kang Dr, Singapore 682787",No,Yes,No,Yes,Indian,4.0/5.0 (54 reviews)
Sufyan Indian Muslim Food @ Redhill Lane,"85 Redhill Ln, Singapore 150085 #01-24",No,Yes,No,Yes,Indian,4.5/5.0 (11 reviews)
SRP Indian Muslim Food @ Ghim Moh Link,"29a Ghim Moh Link, Singapore 271029 #01-03",No,Yes,No,Yes,Indian,2.2/5.0 (5 reviews)
SRP Indian Muslim Food @ Buangkok Crescent,"982 Buangkok Cres, Singapore 530982 #02-01",No,Yes,No,Yes,Indian,3.0/5.0 (4 reviews)
SRP Indian Muslim Food @ Dover Crescent,"28 Dover Cres, Singapore 130028",No,Yes,No,Yes,Indian,3.5/5.0 (45 reviews)
Zham Zham Muslim Food @ Tekka Food Centre,"665 Buffalo Rd, Singapore 210665 #01-217",No,Yes,No,Yes,Indian,4.1/5.0 (117 reviews)
KhairunMiyah Crispy Prata @ Tampines Street 21,"201c Tampines St. 21, Singapore 523201 #01-01",No,Yes,No,Yes,Indian,4.6/5.0 (145 reviews)
Mufiz Prata Corner @ Lorong 12 Geylang,"Lor 12 Geylang, Singapore 398993",No,Yes,Yes,No,"Indian, Opens 24 Hours",4.1/5.0 (240 reviews)
Mohamad's Teh Tarik Eating House @ Tampines Central 1,"503 Tampines Central 1, Singapore 520503",No,Yes,Yes,No,"Indian, Malay",3.4/5.0 (206 reviews)
Nooh Indian Muslim Food,"Block 65 Circuit Rd, Singapore 370065 #01-361",No,Yes,No,Yes,Indian,4.7/5.0 (11 reviews)
Al Bismi Indian Muslim Food @ Woodlands Street 81,"806 Woodlands Street 81, Block 806, Singapore 730806",No,Yes,No,Yes,"Indian, Opens 24 Hours",4.1/5.0 (20 reviews)
Al Bismi Muslim Food @ Old Airport Road,"17 Old Airport Rd, Singapore 397972 #01-13",No,Yes,No,Yes,Indian,4.7/5.0 (18 reviews)
Haji Johan Indian Muslim Food / Temasek Indian Rojak @ Buffalo Road,"665 Buffalo Rd, Singapore 210665",No,Yes,No,Yes,Indian,4.1/5.0 (33 reviews)
Mohamed Javed Indian Muslim Food @ Fernvale Street,"473 Fernvale St, Singapore 790473",No,Yes,No,Yes,Indian,4.1/5.0 (163 reviews)
Mr K Prata @ King George's Avenue,"Blk 803 King George's Ave, Singapore 200808 #01-206",No,Yes,No,Yes,Indian,3.6/5.0 (20 reviews)
Mr K Prata @ Tampines Street 11,"139 Tampines St. 11, Singapore 521139",No,Yes,No,Yes,Indian,3.8/5.0 (26 reviews)
Mr K Prata @ Anchorvale Link,"303 Anchorvale Link, Singapore 540303 #01-01",No,Yes,No,Yes,Indian,3.5/5.0 (20 reviews)
SA Deen Indian Muslim Food @ Bedok Reservoir Road,"151 Bedok Reservoir Rd, Block 151, Singapore 470151",No,Yes,No,Yes,Indian,4.3/5.0 (92 reviews)
280 Indian Muslim Food @ Tampines Street 22,"280 Tampines Street 22, Block 280, Singapore 520280",No,Yes,No,Yes,Indian,4.1/5.0 (23 reviews)
Jamirah Indian Muslim Food @ Elias Road,"623 Elias Rd, Singapore 510623",No,Yes,No,Yes,Indian,3.7/5.0 (27 reviews)
Rohana Indian Muslim Food @ Hougang Central,"805 Hougang Central, Singapore 530805 #01-116",No,Yes,No,Yes,Indian,3.0/5.0 (42 reviews)
Dapur Hassan @ Tampines Street 86,"872c Tampines Street 86, Singapore 528588",No,No,No,Yes,,4.4/5.0 (29 reviews)
Al Hawa @ Sembawang Close,"334a Sembawang Close, Singapore 751334",No,Yes,No,Yes,"Indian, Opens 24 Hours",3.5/5.0 (11 reviews)
Al Hawa @ Edgedale Plains,"660a Edgedale Plains, Singapore 821660",No,Yes,No,Yes,Indian,2.7/5.0 (11 reviews)
BBQ House by Kampong House SG,"9 Jurong West Ave 5, Singapore 649487 #01-09",Yes,No,No,Yes,"BBQ, Singaporean, Seafood",2.8/5.0 (5 reviews)
Mr Biryani @ One North (Timbre+),"73a Ayer Rajah Crescent, Singapore 139957",Yes,No,No,Yes,"Indian, Dhum Biryani",3.4/5.0 (16 reviews)
Mr Biryani @ Chander Road,"11 Chander Rd, Singapore 219529",Yes,No,No,Yes,"Indian, Dhum Biryani",4.4/5.0 (2291 reviews)
Mr Biryani @ Norris Road,"32 Norris Rd, Singapore 208274",Yes,No,No,Yes,"Indian, Dhum Biryani",4.4/5.0 (2291 reviews)
Kebabs Faktory @ West Mall,"1 Bt Batok Central, Singapore 658713 #01-42",Yes,No,No,Yes,"Mediterranean, Kebabs",4.0/5.0 (114 reviews)
Kebabs Faktory @ One North (Timbre+),"73a Ayer Rajah Crescent, Singapore 139957 #01-34",Yes,No,No,Yes,"Mediterranean, Kebabs",3.5/5.0 (64 reviews)
Kebabs Faktory @ Shenton Way,"1 Shenton Way, Singapore 068803 #01-06",Yes,No,No,Yes,"Mediterranean, Kebabs",3.9/5.0 (135 reviews)
Kebabs Faktory @ Sengkang Grand Mall,"70 Compassvale Bow, Singapore 544692 #01-10",Yes,No,No,Yes,"Mediterranean, Kebabs",3.9/5.0 (70 reviews)
Kebabs Faktory @ Tanglin Mall,"163 Tanglin Rd, Singapore 247933 #B1-120",Yes,No,No,Yes,"Mediterranean, Kebabs",3.9/5.0 (77 reviews)
Kebabs Faktory @ Joo Chiat Road,"198 Joo Chiat Rd, Singapore 427469 #01-01",Yes,No,No,Yes,"Mediterranean, Kebabs",4.3/5.0 (50 reviews)
Kebabs Faktory @ Funan,"107 North Bridge Rd, Singapore 179105 #02-31",Yes,No,No,Yes,"Mediterranean, Kebabs",4.0/5.0 (210 reviews)
Sinar Malay Seafood @ Ang Mo Kio Avenue 5,"608 Ang Mo Kio Ave 5, Singapore 560608 #01-2771",No,Yes,No,Yes,"Malay, Seafood",3.9/5.0 (47 reviews)
Al Afrida Restaurant @ Yung Kuang Road,"66 Yung Kuang Rd, Singapore 610065 #01-89/91",No,Yes,Yes,No,"Indian, Thai, Seafood",2.6/5.0 (40 reviews)
Al Afrida Restaurant @ Bedok Reservoir Road,"117 Bedok Reservoir Rd, Singapore 470117 #01-72",No,Yes,Yes,No,"Indian, Thai, Seafood",3.7/5.0 (54 reviews)
Fried Rice Story @ Bukit Merah View,"116 Bukit Merah View, Singapore 151116 #01-253",Yes,No,No,Yes,"BBQ, Chinese, Singaporean, Seafood, Malay, Beef, Asian, Chicken",3.9/5.0 (24 reviews)
Texas Lone Star @ Sengkang Kopitiam Square,"10 Sengkang Square, Kopitiam Square, Singapore 544829 #01-54",Yes,No,No,Yes,"BBQ, Lamb, Fusion, Western, Beef, Italian, Chicken",2.3/5.0 (25 reviews)
Texas Lone Star @ Greenridge Shopping Centre,"524A Jelapang Rd, Singapore 671524 #01-03",Yes,No,No,Yes,"BBQ, Lamb, Fusion, Western, Beef, Italian, Chicken",1.9/5.0 (13 reviews)
Texas Lone Star @ Jalan Kayu,"244 Jln Kayu, Singapore 799468",Yes,No,No,Yes,"BBQ, Lamb, Fusion, Western, Beef, Italian, Chicken",3.3/5.0 (22 reviews)
Texas Lone Star @ Tanjong Katong Road,"364 Tanjong Katong Rd, Singapore 437123",Yes,No,No,Yes,"BBQ, Lamb, Fusion, Western, Beef, Italian, Chicken",3.2/5.0 (11 reviews)
Texas Lone Star @ Bedok North Street 4,"87 Bedok North Street 4, Singapore 460087 #01-191",Yes,No,No,Yes,"BBQ, Lamb, Fusion, Western, Beef, Italian, Chicken",2.8/5.0 (13 reviews)
Susan's Rojak @ Hougang Street 51,"21 Hougang St 51, Singapore 538719 #01-42",No,No,No,Yes,"BBQ, Seafood",4.5/5.0 (4 reviews)
FAZS Satay & Muslim Food @ Yishun Street 31,"333C Yishun Street 31, Singapore",No,Yes,No,Yes,"Chicken, Singaporean, Seafood, Malay, BBQ, Beef, Lamb",4.6/5.0 (16 reviews)
CAFE O @ Raffles Holland V,"118 Holland Ave, Singapore 278973",Yes,No,Yes,No,"Dessert, Beverages, Vegetarian, Seafood, Malay, Indian, Beef, Lamb, BBQ, Indonesian",3.1/5.0 (288 reviews)
Queenstown Lontong,"Blk 38A Margaret Dr, #01-27, Singapore 142038 #01-27",No,Yes,No,Yes,"Malay, Vegetarian, Chicken",4.5/5.0 (209 reviews)
Yes Nasi Kukus @ Woodlands Street 11,"167 Woodlands Street 11, Singapore 730167",Yes,No,No,Yes,"Malay, Chicken, Beef, Lamb, Vegetarian",4.0/5.0 (44 reviews)
Yes Nasi Kukus @ Toh Guan Road,"48 Toh Guan Rd E, Singapore 608586",Yes,No,No,Yes,"Malay, Chicken, Beef, Lamb, Vegetarian",4.5/5.0 (30 reviews)
Aziza Putu Piring @ Marine Parade Central,"84 Marine Parade Central, Singapore 440084 #01-02",No,Yes,No,Yes,"Dessert, Malay",3.8/5.0 (6 reviews)
Nasi Lemak Ayam Taliwang @ Plaza Singapura (Kopitiam),"68 Orchard Rd, Singapore 238839 #06-15/20",No,Yes,No,Yes,"Singaporean, Asian, Malay, BBQ, Chicken",4.6/5.0 (248 reviews)
Nasi Lemak Ayam Taliwang @ Kaki Bukit,"11 Kaki Bukit Rd 4, Singapore 417806",No,Yes,No,Yes,"Singaporean, Asian, Malay, BBQ, Chicken",4.6/5.0 (67 reviews)
Nasi Lemak Ayam Taliwang @ Admiralty Place (Cantine),"678a Woodlands Avenue 6, Singapore 731678 #02-05",No,Yes,No,Yes,"Singaporean, Asian, Malay, BBQ, Chicken",4.2/5.0 (100 reviews)
Nasi Lemak Ayam Taliwang @ The Learning Lab Building (Foodfare),"309 Choa Chu Kang Ave 4, Singapore 680309 #01",No,Yes,No,Yes,"Singaporean, Asian, Malay, BBQ, Chicken",4.6/5.0 (176 reviews)
Nasi Lemak Ayam Taliwang @ Hillion Mall,"17 Petir Rd, Singapore 678278",No,Yes,No,Yes,"Singaporean, Asian, Malay, BBQ, Chicken",4.4/5.0 (51 reviews)
Nasi Lemak Ayam Taliwang @ Canberra Plaza,"133 Canberra Vw, Singapore 750133 #01-21/22/23",No,Yes,No,Yes,"Singaporean, Asian, Malay, BBQ, Chicken",4.4/5.0 (143 reviews)
Nasi Lemak Ayam Taliwang @ SMU,"90 Stamford Rd, Singapore 178903 #01-73",No,Yes,No,Yes,"Singaporean, Asian, Malay, BBQ, Chicken",4.4/5.0 (103 reviews)
Nasi Lemak Ayam Taliwang @ Tampines Street 81,"820 Tampines Street 81, Singapore 520820 #01-506",No,Yes,No,Yes,"Singaporean, Asian, Malay, BBQ, Chicken",4.3/5.0 (113 reviews)
Nasi Lemak Ayam Taliwang @ Gardens by the Bay,"18 Marina Gardens Drive, Singapore 018953",No,Yes,No,Yes,"Singaporean, Asian, Malay, BBQ, Chicken",4.6/5.0 (125 reviews)
Nasi Lemak Ayam Taliwang @ Hougang Street 21,"212 Hougang St 21, Singapore 530212",No,Yes,No,Yes,"Singaporean, Asian, Malay, BBQ, Chicken",4.3/5.0 (146 reviews)
Naina's Kitchen @ Yishun Park Hawker Centre,"51 Yishun Ave 11, #01-13, Singapore 768867 #01-13",No,Yes,No,Yes,"Indian, Chinese, Malay, Chicken, Seafood, Vegetarian, Beef, Lamb, Asian",3.6/5.0 (65 reviews)
Bismi Briyani @ Yishun Park Hawker Centre,"55 Yishun Ave 11, Singapore #01-05",No,Yes,No,Yes,"Indian, Chinese, Malay, Chicken, Seafood, Vegetarian, Beef, Lamb, Asian",4.1/5.0 (99 reviews)
Ayu Cooking Indonesia Cuisine @ Yishun Park Hawker Centre,"51 Yishun Ave 11, Singapore 768867 #01-34",No,Yes,No,Yes,"Indian, Chinese, Malay, Chicken, Seafood, Vegetarian, Beef, Lamb, Asian",4.1/5.0 (20 reviews)
Chicky Fun Chicken Rice @ Jurong Point (Cantine),"1 Jurong West Central 2, Singapore 648886 #B1-42/43/44",Yes,No,No,Yes,"Asian, Chicken",1.9/5.0 (11 reviews)
Chicky Fun Chicken Rice @ Greenwich V (Picnic),"1 Seletar Rd, Singapore 807011 #01-09/10",Yes,No,No,Yes,"Asian, Chicken",3.0/5.0 (2 reviews)
Chicky Fun Chicken Rice @ Banda Street (Kopitiam),"5 Banda St, Singapore 050005",Yes,No,No,Yes,"Asian, Chicken",4.0/5.0 (3 reviews)
Chicky Fun Cafe @ Connection One (Tower 1),"168 Jalan Bukit Merah, Singapore 150168 #01-06",Yes,No,No,Yes,"Asian, Chicken",2.8/5.0 (8 reviews)
Chicky Fun Cafe @ Fusionopolis One,"1 Fusionopolis Way, Singapore 138632 #B1-24",Yes,No,No,Yes,"Asian, Chicken",3.5/5.0 (32 reviews)
Chicky Fun Chicken Rice @ Changi General Hospital (Kopitiam),"2 Simei St 3, Singapore 529889 #01-20",Yes,No,No,Yes,"Asian, Chicken",2.5/5.0 (11 reviews)
Edmond Chicken Rice @ Tanglin Halt,"48a Tanglin Halt Rd, Singapore 148813 #01-028",Yes,No,No,Yes,"Chicken, Asian, Vegetarian, Chicken Rice",4.6/5.0 (167 reviews)
Chopstix & Rice @ Suntec City Mall Tower 4,"3 Temasek Boulevard, East Wing, Singapore 038983 #B1-100/101",Yes,No,No,Yes,"Malay, Vegetarian, Chicken, Seafood, Indonesian, Beef, Lamb",4.5/5.0 (755 reviews)
Warung Penyet (MR3) @ The Food Market Century Square,"2 Tampines Central 5, Singapore 529509 #03-19",Yes,No,Yes,No,"Vegetarian, Singaporean, Malay, Chicken, Fusion, Thai, Korean, Japanese, Chinese, Seafood",2.6/5.0 (16 reviews)
Soldier Chicken @ Eunos Crescent,"7 Eunos Cres, Singapore 400007",Yes,No,No,Yes,"Western, Chicken",3.5/5.0 (35 reviews)
Soldier Chicken @ Hougang Ave 4,"682 Hougang Ave 4, Singapore 530682 #01-300",Yes,No,No,Yes,"Western, Chicken",3.1/5.0 (31 reviews)
Ah Lim Nasi Lemak @ Ayer Rajah Food Centre,"503 W Coast Dr, Singapore 120503 #01-22",No,Yes,No,Yes,"Malay, Asian, Nasi Lemak",4.2/5.0 (26 reviews)
Monster Chili Mala Hot Pot (S4) @ Great World City (Food Junction),"1 Kim Seng Promenade, Singapore 2379941 #03-116",Yes,No,No,Yes,"Western, Malay, Vegetarian, Beverages, Singaporean, Seafood, Chicken, Dessert, Fusion, Indonesian, Chinese, Japanese, Korean, Thai, Indian, Italian",2.3/5.0 (16 reviews)
Fire Western N Grill (S18)@Foodjunction Lot One,"11 Choa Chu Kang Ave 4, Singapore 689812 #04-14/15/16",Yes,No,No,Yes,"Western, Malay, Vegetarian, Beverages, Singaporean, Seafood, Chicken, Dessert, Fusion, Indonesian, Chinese, Japanese, Korean, Thai, Indian, Italian",1.6/5.0 (12 reviews)
Uncle Penyet @ Vertex,"33 Ubi Ave 3, Singapore 408868 #01-08",Yes,No,Yes,No,"Malay, Indonesian, Chicken, Vegetarian, Nasi Ayam Penyet",N/A
